timestamp,datetime,sensor_id,value
1467431031.7890632,2016-07-02T03:43:51.789063,1,40
1467431091.8243933,2016-07-02T03:44:51.824393,1,40
1467431151.8706057,2016-07-02T03:45:51.870605,1,40
1467431211.8909168,2016-07-02T03:46:51.890916,1,40
1467431271.9472044,2016-07-02T03:47:51.947204,1,40
1467431332.006256,2016-07-02T03:48:52.006256,1,77
1467431392.0550258,2016-07-02T03:49:52.055025,1,73
1467431452.0781372,2016-07-02T03:50:52.078137,1,79
1467431512.1371632,2016-07-02T03:51:52.137163,1,79
1467431572.1438148,2016-07-02T03:52:52.143814,1,79
1467431632.1971953,2016-07-02T03:53:52.197195,1,79
1467431692.2562747,2016-07-02T03:54:52.256274,1,79
1467431752.315466,2016-07-02T03:55:52.315465,1,79
1467431812.333111,2016-07-02T03:56:52.333111,1,79
1467431872.3538437,2016-07-02T03:57:52.353843,1,79
1467431932.4128153,2016-07-02T03:58:52.412815,1,75
1467431992.4718978,2016-07-02T03:59:52.471897,1,75
1467432000.7815685,2016-07-02T04:00:00.781568,1,79
1467432060.8342228,2016-07-02T04:01:00.834222,1,75
1467432120.8565388,2016-07-02T04:02:00.856538,1,75
1467432180.9156494,2016-07-02T04:03:00.915649,1,75
1467432240.9471722,2016-07-02T04:04:00.947172,1,75
1467432301.0002463,2016-07-02T04:05:01.000246,1,75
1467432361.059237,2016-07-02T04:06:01.059237,1,75
1467432421.1168206,2016-07-02T04:07:01.116820,1,75
1467432481.1430814,2016-07-02T04:08:01.143081,1,75
1467432494.966598,2016-07-02T04:08:14.966598,dining-room,75
1467432555.0257661,2016-07-02T04:09:15.025766,dining-room,75
1467432615.0848608,2016-07-02T04:10:15.084860,dining-room,75
1467432675.1439776,2016-07-02T04:11:15.143977,dining-room,75
1467432735.1972072,2016-07-02T04:12:15.197207,dining-room,75
1467432795.2562838,2016-07-02T04:13:15.256283,dining-room,75
1467432855.315496,2016-07-02T04:14:15.315495,dining-room,75
1467432915.3744962,2016-07-02T04:15:15.374496,dining-room,75
1467432975.4335992,2016-07-02T04:16:15.433599,dining-room,75
1467433035.4659107,2016-07-02T04:17:15.465910,dining-room,75
1467433095.5249426,2016-07-02T04:18:15.524942,dining-room,75
1467433155.584023,2016-07-02T04:19:15.584022,dining-room,40
1467433215.6430755,2016-07-02T04:20:15.643075,dining-room,40
1467433275.6872294,2016-07-02T04:21:15.687229,dining-room,40
1467433335.7463758,2016-07-02T04:22:15.746375,dining-room,40
1467433395.8054638,2016-07-02T04:23:15.805463,dining-room,40
1467433455.816164,2016-07-02T04:24:15.816164,dining-room,40
1467433515.8745527,2016-07-02T04:25:15.874552,dining-room,40
1467433575.93351,2016-07-02T04:26:15.933510,dining-room,40
1467433635.9801457,2016-07-02T04:27:15.980145,dining-room,40
1467433696.026821,2016-07-02T04:28:16.026820,dining-room,40
1467433756.072755,2016-07-02T04:29:16.072755,dining-room,40
1467433816.1167393,2016-07-02T04:30:16.116739,dining-room,40
1467433876.1727986,2016-07-02T04:31:16.172798,dining-room,40
1467433936.1971223,2016-07-02T04:32:16.197122,dining-room,40
1467433996.2562485,2016-07-02T04:33:16.256248,dining-room,40
1467434056.3153598,2016-07-02T04:34:16.315359,dining-room,40
1467434116.3743744,2016-07-02T04:35:16.374374,dining-room,40
1467434176.395261,2016-07-02T04:36:16.395261,dining-room,40
1467434236.4471722,2016-07-02T04:37:16.447172,dining-room,40
1467434296.4971435,2016-07-02T04:38:16.497143,dining-room,40
1467434356.5562599,2016-07-02T04:39:16.556259,dining-room,40
1467434416.603169,2016-07-02T04:40:16.603168,dining-room,40
1467434476.6236727,2016-07-02T04:41:16.623672,dining-room,40
1467434536.6826468,2016-07-02T04:42:16.682646,dining-room,40
1467434596.6871538,2016-07-02T04:43:16.687153,dining-room,40
1467434656.7462394,2016-07-02T04:44:16.746239,dining-room,40
1467434716.8053985,2016-07-02T04:45:16.805398,dining-room,40
1467434776.8644216,2016-07-02T04:46:16.864421,dining-room,40
1467434836.9045577,2016-07-02T04:47:16.904557,dining-room,40
1467434896.9471571,2016-07-02T04:48:16.947157,dining-room,40
1467434956.9958315,2016-07-02T04:49:16.995831,dining-room,40
1467435017.0549197,2016-07-02T04:50:17.054919,dining-room,40
1467435077.1141183,2016-07-02T04:51:17.114118,dining-room,40
1467435137.1578155,2016-07-02T04:52:17.157815,dining-room,40
1467435197.1971762,2016-07-02T04:53:17.197176,dining-room,40
1467435257.256253,2016-07-02T04:54:17.256253,dining-room,40
1467435317.3154373,2016-07-02T04:55:17.315437,dining-room,40
1467435377.374448,2016-07-02T04:56:17.374448,dining-room,40
1467435437.4335835,2016-07-02T04:57:17.433583,dining-room,40
1467435497.4631252,2016-07-02T04:58:17.463125,dining-room,40
1467435557.5221665,2016-07-02T04:59:17.522166,dining-room,40
1467435617.5598545,2016-07-02T05:00:17.559854,dining-room,40
1467435677.5766926,2016-07-02T05:01:17.576692,dining-room,40
1467435737.5782106,2016-07-02T05:02:17.578210,dining-room,40
1467435797.6245086,2016-07-02T05:03:17.624508,dining-room,40
1467435857.643975,2016-07-02T05:04:17.643975,dining-room,40
1467435917.687152,2016-07-02T05:05:17.687151,dining-room,40
1467435977.737423,2016-07-02T05:06:17.737422,dining-room,40
1467436037.7909331,2016-07-02T05:07:17.790933,dining-room,40
1467436097.8035219,2016-07-02T05:08:17.803521,dining-room,40
1467436157.852875,2016-07-02T05:09:17.852874,dining-room,40
1467436217.8728771,2016-07-02T05:10:17.872877,dining-room,40
1467436277.8923762,2016-07-02T05:11:17.892376,dining-room,40
1467436337.9471607,2016-07-02T05:12:17.947160,dining-room,40
1467436398.0023942,2016-07-02T05:13:18.002394,dining-room,40
1467436458.0547411,2016-07-02T05:14:18.054741,dining-room,40
1467436518.1071782,2016-07-02T05:15:18.107178,dining-room,40
1467436578.118846,2016-07-02T05:16:18.118845,dining-room,40
1467436638.1548462,2016-07-02T05:17:18.154846,dining-room,40
1467436698.2139454,2016-07-02T05:18:18.213945,dining-room,40
1467436758.2730825,2016-07-02T05:19:18.273082,dining-room,44
1467436818.3177576,2016-07-02T05:20:18.317757,dining-room,40
1467436878.376942,2016-07-02T05:21:18.376941,dining-room,40
1467436938.4358523,2016-07-02T05:22:18.435852,dining-room,40
1467436998.4471505,2016-07-02T05:23:18.447150,dining-room,44
1467437058.493064,2016-07-02T05:24:18.493063,dining-room,44
1467437118.552248,2016-07-02T05:25:18.552248,dining-room,40
1467437178.5641155,2016-07-02T05:26:18.564115,dining-room,40
1467437238.6231785,2016-07-02T05:27:18.623178,dining-room,40
1467437298.6712565,2016-07-02T05:28:18.671256,dining-room,40
1467437358.7139196,2016-07-02T05:29:18.713919,dining-room,40
1467437418.7730472,2016-07-02T05:30:18.773047,dining-room,40
1467437478.8321235,2016-07-02T05:31:18.832123,dining-room,40
1467437538.8466506,2016-07-02T05:32:18.846650,dining-room,40
1467437598.905744,2016-07-02T05:33:18.905744,dining-room,40
1467437658.9471278,2016-07-02T05:34:18.947127,dining-room,44
1467437718.9809592,2016-07-02T05:35:18.980959,dining-room,40
1467437779.0401902,2016-07-02T05:36:19.040190,dining-room,40
1467437839.0992255,2016-07-02T05:37:19.099225,dining-room,40
1467437899.1167321,2016-07-02T05:38:19.116732,dining-room,40
1467437959.1758192,2016-07-02T05:39:19.175819,dining-room,40
1467438019.1971786,2016-07-02T05:40:19.197178,dining-room,40
1467438079.2447724,2016-07-02T05:41:19.244772,dining-room,40
1467438139.3040695,2016-07-02T05:42:19.304069,dining-room,40
1467438199.3282275,2016-07-02T05:43:19.328227,dining-room,40
1467438259.3551333,2016-07-02T05:44:19.355133,dining-room,40
1467438319.414292,2016-07-02T05:45:19.414292,dining-room,40
1467438379.447243,2016-07-02T05:46:19.447242,dining-room,40
1467438439.5062742,2016-07-02T05:47:19.506274,dining-room,40
1467438499.5655093,2016-07-02T05:48:19.565509,dining-room,40
1467438559.6244774,2016-07-02T05:49:19.624477,dining-room,40
1467438619.6325264,2016-07-02T05:50:19.632526,dining-room,40
1467438679.6570578,2016-07-02T05:51:19.657057,dining-room,40
1467438739.697235,2016-07-02T05:52:19.697235,dining-room,40
1467438799.6995757,2016-07-02T05:53:19.699575,dining-room,40
1467438859.7587073,2016-07-02T05:54:19.758707,dining-room,40
1467438919.7951038,2016-07-02T05:55:19.795103,dining-room,40
1467438979.8318,2016-07-02T05:56:19.831799,dining-room,40
1467439039.8907883,2016-07-02T05:57:19.890788,dining-room,40
1467439099.9472418,2016-07-02T05:58:19.947241,dining-room,40
1467439160.0062191,2016-07-02T05:59:20.006219,dining-room,40
1467439220.06548,2016-07-02T06:00:20.065479,dining-room,40
1467439280.1167057,2016-07-02T06:01:20.116705,dining-room,40
1467439340.1758604,2016-07-02T06:02:20.175860,dining-room,4
1467439400.234926,2016-07-02T06:03:20.234925,dining-room,4
1467439460.2940824,2016-07-02T06:04:20.294082,dining-room,4
1467439520.3522909,2016-07-02T06:05:20.352290,dining-room,4
1467439580.3783107,2016-07-02T06:06:20.378310,dining-room,4
1467439640.4243321,2016-07-02T06:07:20.424332,dining-room,4
1467439700.4472146,2016-07-02T06:08:20.447214,dining-room,4
1467439760.5062585,2016-07-02T06:09:20.506258,dining-room,4
1467439820.5646768,2016-07-02T06:10:20.564676,dining-room,4
1467439880.6107748,2016-07-02T06:11:20.610774,dining-room,4
1467439940.6502793,2016-07-02T06:12:20.650279,dining-room,4
1467440000.697167,2016-07-02T06:13:20.697166,dining-room,4
1467440060.7261033,2016-07-02T06:14:20.726103,dining-room,4
1467440120.7851195,2016-07-02T06:15:20.785119,dining-room,4
1467440180.8179533,2016-07-02T06:16:20.817953,dining-room,4
1467440240.864035,2016-07-02T06:17:20.864034,dining-room,4
1467440300.9119644,2016-07-02T06:18:20.911964,dining-room,4
1467440360.9498398,2016-07-02T06:19:20.949839,dining-room,4
1467440421.0036192,2016-07-02T06:20:21.003619,dining-room,4
1467440481.0510616,2016-07-02T06:21:21.051061,dining-room,4
1467440541.0715756,2016-07-02T06:22:21.071575,dining-room,4
1467440601.1230383,2016-07-02T06:23:21.123038,dining-room,4
1467440661.1680744,2016-07-02T06:24:21.168074,dining-room,4
1467440721.2157118,2016-07-02T06:25:21.215711,dining-room,4
1467440781.2618105,2016-07-02T06:26:21.261810,dining-room,4
1467440841.3136384,2016-07-02T06:27:21.313638,dining-room,4
1467440901.346632,2016-07-02T06:28:21.346632,dining-room,4
1467440961.4037669,2016-07-02T06:29:21.403766,dining-room,4
1467441021.4628272,2016-07-02T06:30:21.462827,dining-room,4
1467441081.4771373,2016-07-02T06:31:21.477137,dining-room,4
1467441141.5076764,2016-07-02T06:32:21.507676,dining-room,4
1467441201.5508497,2016-07-02T06:33:21.550849,dining-room,4
1467441261.5915291,2016-07-02T06:34:21.591529,dining-room,4
1467441321.6295984,2016-07-02T06:35:21.629598,dining-room,4
1467441381.6666288,2016-07-02T06:36:21.666628,dining-room,4
1467441441.7194107,2016-07-02T06:37:21.719410,dining-room,4
1467441501.7417653,2016-07-02T06:38:21.741765,dining-room,4
1467441561.7655587,2016-07-02T06:39:21.765558,dining-room,4
1467441621.819999,2016-07-02T06:40:21.819998,dining-room,4
1467441681.8587484,2016-07-02T06:41:21.858748,dining-room,4
1467441741.8967218,2016-07-02T06:42:21.896721,dining-room,4
1467441801.9471595,2016-07-02T06:43:21.947159,dining-room,4
1467441861.974185,2016-07-02T06:44:21.974184,dining-room,4
1467441922.0115216,2016-07-02T06:45:22.011521,dining-room,4
1467441982.0493698,2016-07-02T06:46:22.049369,dining-room,4
1467442042.0911467,2016-07-02T06:47:22.091146,dining-room,4
1467442102.1316566,2016-07-02T06:48:22.131656,dining-room,4
1467442162.1710336,2016-07-02T06:49:22.171033,dining-room,4
1467442222.2093368,2016-07-02T06:50:22.209336,dining-room,4
1467442282.2479067,2016-07-02T06:51:22.247906,dining-room,4
1467442342.2866964,2016-07-02T06:52:22.286696,dining-room,4
1467442402.3061748,2016-07-02T06:53:22.306174,dining-room,4
1467442462.3619664,2016-07-02T06:54:22.361966,dining-room,4
1467442522.4010556,2016-07-02T06:55:22.401055,dining-room,4
1467442582.4571877,2016-07-02T06:56:22.457187,dining-room,4
1467442642.4778934,2016-07-02T06:57:22.477893,dining-room,4
1467442702.516609,2016-07-02T06:58:22.516608,dining-room,4
1467442762.5554156,2016-07-02T06:59:22.555415,dining-room,4
1467442822.5932403,2016-07-02T07:00:22.593240,dining-room,4
1467442882.6471965,2016-07-02T07:01:22.647196,dining-room,4
1467442942.697205,2016-07-02T07:02:22.697205,dining-room,4
1467443002.7089376,2016-07-02T07:03:22.708937,dining-room,4
1467443062.7474167,2016-07-02T07:04:22.747416,dining-room,4
1467443122.7868676,2016-07-02T07:05:22.786867,dining-room,4
1467443182.837211,2016-07-02T07:06:22.837210,dining-room,4
1467443242.865465,2016-07-02T07:07:22.865464,dining-room,4
1467443302.9045272,2016-07-02T07:08:22.904527,dining-room,4
1467443362.9571671,2016-07-02T07:09:22.957167,dining-room,4
1467443422.979027,2016-07-02T07:10:22.979027,dining-room,4
1467443483.02588,2016-07-02T07:11:23.025880,dining-room,4
1467443543.0559397,2016-07-02T07:12:23.055939,dining-room,4
1467443603.0845473,2016-07-02T07:13:23.084547,dining-room,4
1467443663.1167047,2016-07-02T07:14:23.116704,dining-room,4
1467443723.1750784,2016-07-02T07:15:23.175078,dining-room,4
1467443783.2147405,2016-07-02T07:16:23.214740,dining-room,4
1467443843.2630687,2016-07-02T07:17:23.263068,dining-room,4
1467443903.322481,2016-07-02T07:18:23.322480,dining-room,4
1467443963.337656,2016-07-02T07:19:23.337656,dining-room,4
1467444023.3782148,2016-07-02T07:20:23.378214,dining-room,4
1467444083.4174967,2016-07-02T07:21:23.417496,dining-room,4
1467444143.4728734,2016-07-02T07:22:23.472873,dining-room,4
1467444203.4933648,2016-07-02T07:23:23.493364,dining-room,4
1467444263.5322475,2016-07-02T07:24:23.532247,dining-room,4
1467444323.5716934,2016-07-02T07:25:23.571693,dining-room,4
1467444383.6120288,2016-07-02T07:26:23.612028,dining-room,4
1467444443.6625462,2016-07-02T07:27:23.662546,dining-room,4
1467444503.6966324,2016-07-02T07:28:23.696632,dining-room,4
1467444563.7353604,2016-07-02T07:29:23.735360,dining-room,4
1467444623.7734005,2016-07-02T07:30:23.773400,dining-room,4
1467444683.8132315,2016-07-02T07:31:23.813231,dining-room,4
1467444743.8544528,2016-07-02T07:32:23.854452,dining-room,4
1467444803.8588376,2016-07-02T07:33:23.858837,dining-room,4
1467444863.9084303,2016-07-02T07:34:23.908430,dining-room,4
1467444923.9471385,2016-07-02T07:35:23.947138,dining-room,4
1467444983.965432,2016-07-02T07:36:23.965431,dining-room,4
1467445044.0245423,2016-07-02T07:37:24.024542,dining-room,4
1467445104.083717,2016-07-02T07:38:24.083717,dining-room,4
1467445164.1306183,2016-07-02T07:39:24.130618,dining-room,4
1467445224.1781745,2016-07-02T07:40:24.178174,dining-room,4
1467445284.1971457,2016-07-02T07:41:24.197145,dining-room,4
1467445344.2336833,2016-07-02T07:42:24.233683,dining-room,4
1467445404.287583,2016-07-02T07:43:24.287583,dining-room,4
1467445464.3451252,2016-07-02T07:44:24.345125,dining-room,4
1467445524.4018638,2016-07-02T07:45:24.401863,dining-room,4
1467445584.4591134,2016-07-02T07:46:24.459113,dining-room,4
1467445644.5173104,2016-07-02T07:47:24.517310,dining-room,4
1467445704.5467174,2016-07-02T07:48:24.546717,dining-room,4
1467445764.5657184,2016-07-02T07:49:24.565718,dining-room,4
1467445824.624798,2016-07-02T07:50:24.624798,dining-room,4
1467445884.683945,2016-07-02T07:51:24.683944,dining-room,4
1467445944.7410817,2016-07-02T07:52:24.741081,dining-room,4
1467446004.7967644,2016-07-02T07:53:24.796764,dining-room,4
1467446064.851922,2016-07-02T07:54:24.851922,dining-room,4
1467446124.9087102,2016-07-02T07:55:24.908710,dining-room,4
1467446184.9671352,2016-07-02T07:56:24.967135,dining-room,4
1467446245.0201242,2016-07-02T07:57:25.020124,dining-room,4
1467446305.0762324,2016-07-02T07:58:25.076232,dining-room,4
1467446365.1341417,2016-07-02T07:59:25.134141,dining-room,4
1467446425.1901152,2016-07-02T08:00:25.190115,dining-room,4
1467446485.2465706,2016-07-02T08:01:25.246570,dining-room,4
1467446545.304141,2016-07-02T08:02:25.304141,dining-room,4
1467446605.3614416,2016-07-02T08:03:25.361441,dining-room,4
1467446665.4171593,2016-07-02T08:04:25.417159,dining-room,4
