timestamp,datetime,sensor_id,value
1467481502.1923044,2016-07-02T17:45:02.192304,back-room,20.72641
1467481568.1131558,2016-07-02T17:46:08.113155,back-room,18.1152
1467481634.1588457,2016-07-02T17:47:14.158845,back-room,14.0352
1467481701.1294549,2016-07-02T17:48:21.129454,back-room,20.72641
1467481768.249994,2016-07-02T17:49:28.249994,back-room,20.72641
1467481836.1456177,2016-07-02T17:50:36.145617,back-room,20.72641
1467481903.2913096,2016-07-02T17:51:43.291309,back-room,2.937601
1467481971.1118872,2016-07-02T17:52:51.111887,back-room,2.937601
1467482039.282483,2016-07-02T17:53:59.282483,back-room,-0.8975973
1467482107.153308,2016-07-02T17:55:07.153307,back-room,-0.8975973
1467482174.2739768,2016-07-02T17:56:14.273976,back-room,-0.8975973
1467482242.219477,2016-07-02T17:57:22.219476,back-room,2.937601
1467482310.3150787,2016-07-02T17:58:30.315078,back-room,2.937601
1467482378.310654,2016-07-02T17:59:38.310653,back-room,-0.8975973
1467482446.2313242,2016-07-02T18:00:46.231324,back-room,-0.8975973
1467482515.3518832,2016-07-02T18:01:55.351883,back-room,2.937601
1467482583.2227144,2016-07-02T18:03:03.222714,back-room,2.937601
1467482651.4432437,2016-07-02T18:04:11.443243,back-room,2.937601
1467482719.3389435,2016-07-02T18:05:19.338943,back-room,2.937601
1467482787.2847087,2016-07-02T18:06:27.284708,back-room,-0.8975973
1467482856.2801185,2016-07-02T18:07:36.280118,back-room,-0.8975973
1467482924.450881,2016-07-02T18:08:44.450881,back-room,2.937601
1467482992.5214217,2016-07-02T18:09:52.521421,back-room,2.937601
1467483060.5422313,2016-07-02T18:11:00.542231,back-room,-0.8975973
1467483129.4627166,2016-07-02T18:12:09.462716,back-room,2.937601
1467483197.6083057,2016-07-02T18:13:17.608305,back-room,2.937601
1467483265.5291047,2016-07-02T18:14:25.529104,back-room,-0.8975973
1467483334.449675,2016-07-02T18:15:34.449675,back-room,-0.8975973
1467483402.4454708,2016-07-02T18:16:42.445470,back-room,2.937601
1467483470.566147,2016-07-02T18:17:50.566147,back-room,2.937601
1467483539.4368598,2016-07-02T18:18:59.436859,back-room,9.628799
1467483607.632577,2016-07-02T18:20:07.632576,back-room,2.937601
1467483676.5285208,2016-07-02T18:21:16.528520,back-room,9.628799
