timestamp,datetime,sensor_id,value
1467431030.824865,2016-07-02T03:43:50.824865,front-room,190.7808
1467431076.3983135,2016-07-02T03:44:36.398313,front-room,190.7808
1467431136.343766,2016-07-02T03:45:36.343765,front-room,190.7808
1467431196.464421,2016-07-02T03:46:36.464421,front-room,190.7808
1467431256.3853862,2016-07-02T03:47:36.385386,front-room,189.312
1467431316.4813035,2016-07-02T03:48:36.481303,front-room,182.6208
1467431376.4284434,2016-07-02T03:49:36.428443,front-room,185.232
1467431436.3512857,2016-07-02T03:50:36.351285,front-room,185.232
1467431496.4454677,2016-07-02T03:51:36.445467,front-room,185.232
1467431556.5170553,2016-07-02T03:52:36.517055,front-room,185.232
1467431616.4140477,2016-07-02T03:53:36.414047,front-room,185.232
1467431676.536602,2016-07-02T03:54:36.536602,front-room,185.232
1467431736.4077733,2016-07-02T03:55:36.407773,front-room,181.152
1467431796.5054102,2016-07-02T03:56:36.505410,front-room,185.232
1467431856.6263416,2016-07-02T03:57:36.626341,front-room,178.5408
1467431916.4985814,2016-07-02T03:58:36.498581,front-room,185.232
1467431976.6194963,2016-07-02T03:59:36.619496,front-room,185.232
1467431999.8149087,2016-07-02T03:59:59.814908,front-room,185.232
1467432036.4906423,2016-07-02T04:00:36.490642,front-room,185.232
1467432096.6117344,2016-07-02T04:01:36.611734,front-room,185.232
1467432156.5103238,2016-07-02T04:02:36.510323,front-room,185.232
1467432216.6343708,2016-07-02T04:03:36.634370,front-room,185.232
1467432276.6580613,2016-07-02T04:04:36.658061,front-room,185.232
1467432336.7549567,2016-07-02T04:05:36.754956,front-room,185.232
1467432396.7277892,2016-07-02T04:06:36.727789,front-room,185.232
1467432456.7998507,2016-07-02T04:07:36.799850,front-room,185.232
1467432494.0048099,2016-07-02T04:08:14.004809,front-room,185.232
1467432516.7474968,2016-07-02T04:08:36.747496,front-room,185.232
1467432576.6205046,2016-07-02T04:09:36.620504,front-room,185.232
1467432636.7939227,2016-07-02T04:10:36.793922,front-room,185.232
1467432696.6665473,2016-07-02T04:11:36.666547,front-room,185.232
1467432756.8138492,2016-07-02T04:12:36.813849,front-room,185.232
1467432816.6861372,2016-07-02T04:13:36.686137,front-room,185.232
1467432876.8588872,2016-07-02T04:14:36.858887,front-room,185.232
1467432936.8050435,2016-07-02T04:15:36.805043,front-room,185.232
1467432996.900986,2016-07-02T04:16:36.900985,front-room,185.232
1467433056.798073,2016-07-02T04:17:36.798073,front-room,185.232
1467433116.9206398,2016-07-02T04:18:36.920639,front-room,181.152
1467433176.81505,2016-07-02T04:19:36.815049,front-room,185.232
1467433236.760951,2016-07-02T04:20:36.760951,front-room,185.232
1467433296.882667,2016-07-02T04:21:36.882667,front-room,181.152
1467433356.7787025,2016-07-02T04:22:36.778702,front-room,181.152
1467433416.9508243,2016-07-02T04:23:36.950824,front-room,181.152
1467433476.8213599,2016-07-02T04:24:36.821359,front-room,181.152
1467433536.968016,2016-07-02T04:25:36.968015,front-room,181.152
1467433596.9143686,2016-07-02T04:26:36.914368,front-room,185.232
1467433657.0607052,2016-07-02T04:27:37.060705,front-room,181.152
1467433716.9073157,2016-07-02T04:28:36.907315,front-room,181.152
1467433776.8786128,2016-07-02T04:29:36.878612,front-room,185.232
1467433837.0509248,2016-07-02T04:30:37.050924,front-room,185.232
1467433897.0963438,2016-07-02T04:31:37.096343,front-room,181.152
1467433957.0184972,2016-07-02T04:32:37.018497,front-room,185.232
1467434017.0628674,2016-07-02T04:33:37.062867,front-room,181.152
1467434077.13371,2016-07-02T04:34:37.133709,front-room,181.152
1467434137.1293764,2016-07-02T04:35:37.129376,front-room,181.152
1467434197.025486,2016-07-02T04:36:37.025485,front-room,181.152
1467434257.1204543,2016-07-02T04:37:37.120454,front-room,181.152
1467434316.9912457,2016-07-02T04:38:36.991245,front-room,181.152
1467434377.037568,2016-07-02T04:39:37.037568,front-room,185.232
1467434437.1580048,2016-07-02T04:40:37.158004,front-room,181.152
1467434497.054223,2016-07-02T04:41:37.054223,front-room,181.152
1467434557.2010083,2016-07-02T04:42:37.201008,front-room,181.152
1467434617.1961977,2016-07-02T04:43:37.196197,front-room,181.152
1467434677.1678557,2016-07-02T04:44:37.167855,front-room,181.152
1467434737.2138164,2016-07-02T04:45:37.213816,front-room,181.152
1467434797.1352398,2016-07-02T04:46:37.135239,front-room,181.152
1467434857.0813959,2016-07-02T04:47:37.081395,front-room,181.152
1467434917.2284753,2016-07-02T04:48:37.228475,front-room,181.152
1467434977.1237044,2016-07-02T04:49:37.123704,front-room,181.152
1467435037.194757,2016-07-02T04:50:37.194756,front-room,181.152
1467435097.2909644,2016-07-02T04:51:37.290964,front-room,181.152
1467435157.3122218,2016-07-02T04:52:37.312221,front-room,181.152
